region_key,state,stratum,weight,lat,lon,elev_m,method,source
ia,IA,all,0.2219,42.2639,-93.537,331.0,"single point, not split into strata: production-weighted centroid of 99 county internal points (0 counties withheld by NASS for disclosure); irrigation covers 1.2 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
il,IL,all,0.1894,40.3194,-89.2176,204.0,"single point, not split into strata: production-weighted centroid of 100 county internal points (2 counties withheld by NASS for disclosure); irrigation covers 3.3 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
mn,MN,all,0.1306,44.7087,-94.6365,327.0,"single point, not split into strata: production-weighted centroid of 83 county internal points (0 counties withheld by NASS for disclosure); irrigation covers 3.9 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
ne_irrigated,NE,irrigated,0.0808,41.1699,-98.6459,596.0,"irrigated stratum: production-weighted centroid of 88 county internal points (3 counties withheld by NASS for disclosure), weighting each county by the share of its published corn production apportioned to this stratum (county acres times a state-level stratum yield, so county and state resolution are mixed; NASS publishes no irrigated production at any level); irrigation covers 52.7 percent of this state's harvested corn acres, at or above the 20 percent split threshold, and published counties account for 100.0 percent of its irrigated acres","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; CORN, GRAIN - ACRES HARVESTED; CORN, GRAIN, IRRIGATED - ACRES HARVESTED; CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE; CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
ne_rainfed,NE,rainfed,0.0462,41.1585,-97.7774,530.0,"rainfed stratum: production-weighted centroid of 89 county internal points (3 counties withheld by NASS for disclosure), weighting each county by the share of its published corn production apportioned to this stratum (county acres times a state-level stratum yield, so county and state resolution are mixed; NASS publishes no irrigated production at any level); irrigation covers 52.7 percent of this state's harvested corn acres, at or above the 20 percent split threshold, and published counties account for 100.0 percent of its irrigated acres","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; CORN, GRAIN - ACRES HARVESTED; CORN, GRAIN, IRRIGATED - ACRES HARVESTED; CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE; CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
in,IN,all,0.0919,40.1508,-86.3355,287.0,"single point, not split into strata: production-weighted centroid of 92 county internal points (0 counties withheld by NASS for disclosure); irrigation covers 6.3 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
sd,SD,all,0.054,44.5025,-98.1339,386.0,"single point, not split into strata: production-weighted centroid of 64 county internal points (2 counties withheld by NASS for disclosure); irrigation covers 3.5 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
oh,OH,all,0.0538,40.4759,-83.4936,317.0,"single point, not split into strata: production-weighted centroid of 86 county internal points (2 counties withheld by NASS for disclosure); irrigation covers 0.5 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
wi,WI,all,0.0471,43.852,-89.8864,265.0,"single point, not split into strata: production-weighted centroid of 68 county internal points (4 counties withheld by NASS for disclosure); irrigation covers 4.7 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
ks_irrigated,KS,irrigated,0.0173,38.1752,-99.7654,676.0,"irrigated stratum: production-weighted centroid of 82 county internal points (2 counties withheld by NASS for disclosure), weighting each county by the share of its published corn production apportioned to this stratum (county acres times a state-level stratum yield, so county and state resolution are mixed; NASS publishes no irrigated production at any level); irrigation covers 25.4 percent of this state's harvested corn acres, at or above the 20 percent split threshold, and published counties account for 99.6 percent of its irrigated acres","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; CORN, GRAIN - ACRES HARVESTED; CORN, GRAIN, IRRIGATED - ACRES HARVESTED; CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE; CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
ks_rainfed,KS,rainfed,0.0257,38.9711,-97.6086,410.0,"rainfed stratum: production-weighted centroid of 103 county internal points (2 counties withheld by NASS for disclosure), weighting each county by the share of its published corn production apportioned to this stratum (county acres times a state-level stratum yield, so county and state resolution are mixed; NASS publishes no irrigated production at any level); irrigation covers 25.4 percent of this state's harvested corn acres, at or above the 20 percent split threshold, and published counties account for 99.6 percent of its irrigated acres","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; CORN, GRAIN - ACRES HARVESTED; CORN, GRAIN, IRRIGATED - ACRES HARVESTED; CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE; CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
mo,MO,all,0.0413,39.1575,-92.8634,216.0,"single point, not split into strata: production-weighted centroid of 102 county internal points (5 counties withheld by NASS for disclosure); irrigation covers 9.4 percent of this state's harvested corn acres, below the 20 percent split threshold","USDA NASS 2022 Census of Agriculture, CORN, GRAIN - PRODUCTION, MEASURED IN BU; US Census Bureau 2023 Gazetteer county file; elevation from Open-Meteo"
